Symbols,Name
SAP.DE,SAP SE
VNA.DE,Vonovia SE
MUV2.DE,Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft
EOAN.DE,E.ON SE
IFX.DE,Infineon Technologies AG
HEN3.DE,Henkel AG & Co. KGaA
DTE.DE,Deutsche Telekom AG
DPW.DE,Deutsche Post AG
BAYN.DE,Bayer Aktiengesellschaft
ALV.DE,Allianz SE
DB1.DE,Deutsche Boerse AG
LIN.DE,Linde plc
MRK.DE,MERCK Kommanditgesellschaft auf Aktien
BMW.DE,Bayerische Motoren Werke AG
DBK.DE,Deutsche Bank AG
RWE.DE,RWE AG
DAI.DE,Daimler AG
LHA.DE,Deutsche Lufthansa AG
1COV.DE,Covestro AG
BEI.DE,Beiersdorf Aktiengesellschaft
ADS.DE,adidas AG
VOW3.DE,Volkswagen AG
BAS.DE,BASF SE
SIE.DE,Siemens Aktiengesellschaft
FRE.DE,Fresenius SE & Co. KGaA
FME.DE,Fresenius Medical Care AG & Co. KGaA
HEI.DE,HeidelbergCement AG
CON.DE,Continental Aktiengesellschaft
TKA.DE,thyssenkrupp AG
WDI.DE,
